filename,verbal_description,latent_state
000237_shoct_f07_yaw261_s043_lab045-+060--055_t010_gl040_xy-0119--0164_random.png,left_opaque_matte_small,0
000806_shdod_f06_yaw022_s073_lab052-+002-+042_t027_gl046_xy-0017--0175_random.png,left_opaque_matte_large,1
000613_shdod_f04_yaw120_s063_lab065--016--038_t036_gl068_xy-0192--0247_random.png,left_opaque_glossy_small,2
000517_shdod_f08_yaw086_s080_lab047-+073-+022_t009_gl086_xy-0029--0176_random.png,left_opaque_glossy_large,3
000443_shdod_f00_yaw153_s048_lab062-+066-+003_t092_gl038_xy-0067--0204_random.png,left_transparent_matte_small,4
000321_shoct_f04_yaw097_s073_lab046--044-+025_t067_gl019_xy-0220--0125_random.png,left_transparent_matte_large,5
000895_shdod_f04_yaw091_s049_lab050-+078-+002_t077_gl085_xy-0067-+0223_random.png,left_transparent_glossy_small,6
000100_shoct_f02_yaw260_s074_lab059--040-+028_t071_gl091_xy-0220--0187_random.png,left_transparent_glossy_large,7
000927_shdod_f06_yaw169_s054_lab069-+046-+007_t024_gl029_xy+0104-+0195_random.png,right_opaque_matte_small,8
000878_shdod_f05_yaw245_s066_lab070--007--046_t043_gl042_xy+0211-+0181_random.png,right_opaque_matte_large,9
000624_shico_f10_yaw196_s048_lab052-+012-+038_t010_gl086_xy+0066--0075_random.png,right_opaque_glossy_small,10
000477_shoct_f02_yaw254_s079_lab072--026--031_t050_gl054_xy+0141-+0183_random.png,right_opaque_glossy_large,11
000795_shico_f19_yaw113_s046_lab053--020-+042_t086_gl033_xy+0120-+0127_random.png,right_transparent_matte_small,12
000722_shoct_f04_yaw313_s085_lab070--028-+061_t071_gl037_xy+0079--0004_random.png,right_transparent_matte_large,13
000758_shico_f13_yaw247_s059_lab061-+042--010_t064_gl097_xy+0211--0136_random.png,right_transparent_glossy_small,14
000756_shoct_f04_yaw218_s077_lab075-+040--018_t085_gl052_xy+0230--0213_random.png,right_transparent_glossy_large,15
