filename,verbal_description,latent_state
000231_shdod_f04_yaw175_s051_lab054-+041--062_t038_gl011_xy-0153-+0169_random.png,left_opaque_matte_small,0
000806_shdod_f06_yaw022_s073_lab052-+002-+042_t027_gl046_xy-0017--0175_random.png,left_opaque_matte_large,1
000065_shico_f02_yaw117_s061_lab051-+058--031_t032_gl079_xy-0080--0199_random.png,left_opaque_glossy_small,2
000713_shoct_f03_yaw206_s079_lab051-+044--030_t049_gl099_xy-0089--0031_random.png,left_opaque_glossy_large,3
000796_shico_f04_yaw018_s052_lab056--044-+013_t085_gl007_xy-0210--0187_random.png,left_transparent_matte_small,4
000553_shdod_f00_yaw169_s080_lab036-+015--040_t079_gl010_xy-0082--0179_random.png,left_transparent_matte_large,5
000976_shico_f07_yaw337_s061_lab056-+057--024_t084_gl057_xy-0087--0213_random.png,left_transparent_glossy_small,6
000134_shdod_f03_yaw052_s081_lab073--042--002_t096_gl074_xy-0211-+0037_random.png,left_transparent_glossy_large,7
000928_shico_f18_yaw236_s058_lab054--013-+038_t027_gl032_xy+0139--0053_random.png,right_opaque_matte_small,8
000898_shoct_f00_yaw317_s076_lab048-+004-+040_t047_gl030_xy+0188-+0162_random.png,right_opaque_matte_large,9
000609_shdod_f01_yaw341_s048_lab048--025-+048_t030_gl065_xy+0158--0179_random.png,right_opaque_glossy_small,10
000988_shdod_f04_yaw033_s074_lab066-+024--039_t041_gl067_xy+0245--0182_random.png,right_opaque_glossy_large,11
000444_shoct_f01_yaw109_s042_lab072--028--029_t064_gl002_xy+0072--0040_random.png,right_transparent_matte_small,12
000759_shdod_f10_yaw304_s085_lab061--044-+008_t061_gl047_xy+0170-+0081_random.png,right_transparent_matte_large,13
000823_shico_f16_yaw164_s058_lab063-+004--043_t090_gl083_xy+0071-+0034_random.png,right_transparent_glossy_small,14
000123_shdod_f08_yaw268_s087_lab066--003-+045_t091_gl070_xy+0064-+0234_random.png,right_transparent_glossy_large,15
