trial_kind,stimulus,stimulus_duration_msec,correct_choice,sequence_id,condition_id,task_id,trial,prompt,choice,reaction_time_msec,timestamp_start,assignment_id,worker_id,hit_id,perf
warmup,000611_shoct_f04_yaw343_s078_lab056--034-+040_t014_gl002_xy-0208-+0136_random.png,200,no,"opaque,glossy,small:5",286da451-8e97-4e86-8cc0-0c8851dfde8b,"opaque,glossy,small",0,"Is there a rather **opaque**, **glossy**, **small** object?",no,3340,58287,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,1
warmup,000813_shoct_f03_yaw356_s072_lab072-+040--005_t055_gl011_xy+0162--0014_random.png,200,no,"opaque,glossy,small:5",4ef38be6-5f53-47b7-9b53-5390ff9d3f55,"opaque,glossy,small",1,"Is there a rather **opaque**, **glossy**, **small** object?",no,2469,63848,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,1
warmup,000166_shdod_f07_yaw018_s046_lab058--001-+047_t042_gl071_xy+0154--0005_random.png,200,yes,"opaque,glossy,small:5",b53f53a1-b3bf-4847-a88b-a350858a9316,"opaque,glossy,small",2,"Is there a rather **opaque**, **glossy**, **small** object?",yes,1697,67770,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,1
warmup,000065_shico_f02_yaw117_s061_lab051-+058--031_t032_gl079_xy-0080--0199_random.png,200,yes,"opaque,glossy,small:5",05442081-c0f3-411c-b151-fdf7d8d5b969,"opaque,glossy,small",3,"Is there a rather **opaque**, **glossy**, **small** object?",no,2186,70841,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,0
warmup,000432_shdod_f07_yaw195_s045_lab049-+049--022_t066_gl068_xy-0089-+0119_random.png,200,no,"opaque,glossy,small:5",56e7d98b-536e-4e10-b42b-8984c84993bd,"opaque,glossy,small",4,"Is there a rather **opaque**, **glossy**, **small** object?",yes,2490,74857,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,0
warmup,000811_shico_f03_yaw092_s058_lab050-+044--004_t037_gl087_xy+0044-+0244_random.png,200,yes,"opaque,glossy,small:5",3fa745f8-b41d-4ff9-85df-1dcccd4058db,"opaque,glossy,small",5,"Is there a rather **opaque**, **glossy**, **small** object?",yes,837,79000,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,1
warmup,000439_shoct_f00_yaw138_s075_lab061--048-+016_t093_gl003_xy-0116--0137_random.png,200,no,"opaque,glossy,small:5",c74c5c74-31be-4547-a8d0-b75b7b6000f8,"opaque,glossy,small",6,"Is there a rather **opaque**, **glossy**, **small** object?",yes,2389,81314,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,0
warmup,000588_shico_f13_yaw112_s043_lab072--048-+005_t006_gl076_xy-0057--0141_random.png,200,yes,"opaque,glossy,small:5",196b4cd6-5853-4f9f-b37c-5074afacd7fc,"opaque,glossy,small",7,"Is there a rather **opaque**, **glossy**, **small** object?",yes,734,86458,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,1
warmup,000777_shoct_f06_yaw289_s055_lab060-+010-+049_t026_gl058_xy-0164--0154_random.png,200,yes,"opaque,glossy,small:5",132b001d-851f-43f8-af19-b87177b03dee,"opaque,glossy,small",8,"Is there a rather **opaque**, **glossy**, **small** object?",no,916,88531,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,0
warmup,000164_shdod_f00_yaw238_s082_lab042-+002-+044_t027_gl064_xy+0099--0234_random.png,200,no,"opaque,glossy,small:5",324d7f1e-c9a5-407b-b30d-319ddd830e3c,"opaque,glossy,small",9,"Is there a rather **opaque**, **glossy**, **small** object?",yes,789,93644,9b586489e61fa32242d434792a69cdeca02290a2289c5d538add41333c85e8b6,079e1b75ba51c632736073339557925a0ed5e0f8922e199c82aebf4e9e5f73f0,c6411962cd1cfab55ba8c2a7fb51daf18f31bd0a5ad40718c0d026da05eee17c,0
